from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
WATE2,9165,2,0,HVL__0__3820__RAIL____Total_Day_Count,150__0__403__TZM__404__1__404__1
2002,PORI1,2,0,236__1__418__TZM__312__1__312__1,KPL__1__6447__RAIL____Total_Day_Count
2002,PORI1,2,0,236__1__414__TZM__303__1__303__1,KPL__1__6439__RAIL____Total_Day_Count
PORI2,2002,2,0,KPL__0__6466__RAIL____Total_Day_Count,230__0__429__TZM__307__1__307__1
8251,TAIT1,2,0,120__1__486__TZM__418__418,HVL__1__3869__RAIL____Total_Day_Count
2001,PORI1,2,0,226__0__409__TZM__308__1__308__1,KPL__1__6415__RAIL____Total_Day_Count
PARA2,1001,2,240,KPL__0__6434__RAIL____Total_Day_Count,261__0__411__UZM__718__718
PARA2,1001,2,240,KPL__0__6426__RAIL____Total_Day_Count,261__0__407__UZM__718__718
3081,3081,2,120,19__0__425__TZM__213__1__213__1,1__1__460__TZM__201__1__201__1
8165,WATE1,2,0,150__1__420__TZM__412__412,HVL__1__3835__RAIL____Total_Day_Count
7720,7700,2,60,29__0__403__TZM__106__1__106__1,7__1__408__TZM__203__1__203__1
UPPE,8579,2,240,HVL__0__3830__RAIL____Total_Day_Count,112__0__409__TZM__507__507
UPPE,8579,2,240,HVL__0__3822__RAIL____Total_Day_Count,112__0__405__TZM__504__1__504__1
8580,UPPE,2,240,110__1__444__TZM__513__1__513__1,HVL__1__3837__RAIL____Total_Day_Count
PORI2,2001,2,0,KPL__0__6416__RAIL____Total_Day_Count,226__0__405__TZM__308__1__308__1
7026,7224,2,240,12__1__404__NBM__27__2__27__2,2__0__421__NBM__29__3__29__3
6224,6224,2,240,2__1__506__NBM__5__2__5__2,12__0__429__NBM__13__2__13__2
UPPE,8579,2,240,HVL__0__3852__RAIL____Total_Day_Count,110__0__465__TZM__513__1__513__1
2002,PORI1,2,0,230__1__422__TZM__308__1__308__1,KPL__1__6451__RAIL____Total_Day_Count
UPPE,8579,2,240,HVL__0__3820__RAIL____Total_Day_Count,110__0__405__TZM__506__1__506__1
2002,PORI1,2,0,236__1__410__TZM__310__310,KPL__1__6431__RAIL____Total_Day_Count
2002,PORI1,2,0,236__1__406__TZM__302__1__302__1,KPL__1__6423__RAIL____Total_Day_Count
3000,3000,2,120,1__0__503__TZM__113__1__113__1,19__0__447__TZM__108__1__108__1
PORI2,2003,2,0,KPL__0__6456__RAIL____Total_Day_Count,220__1__442__TZM__302__1__302__1
WAIK,1501,2,240,KPL__0__6448__RAIL____Total_Day_Count,280__0__419__UZM__719__719
8165,WATE1,2,0,150__1__440__TZM__418__418,HVL__1__3861__RAIL____Total_Day_Count
8251,TAIT1,2,0,120__1__404__TZM__409__1__409__1,HVL__1__3813__RAIL____Total_Day_Count
3081,3081,2,120,19__0__403__TZM__209__1__209__1,1__1__416__TZM__213__1__213__1
WATE2,9165,2,0,HVL__0__3836__RAIL____Total_Day_Count,150__0__417__TZM__410__410
WAIK,1501,2,240,KPL__0__6454__RAIL____Total_Day_Count,281__0__421__UZM__719__719
WAIK,1501,2,240,KPL__0__6446__RAIL____Total_Day_Count,281__0__417__UZM__719__719
8165,WATE1,2,0,150__1__434__TZM__418__418,HVL__1__3849__RAIL____Total_Day_Count
PORI1,2002,2,0,KPL__1__6455__RAIL____Total_Day_Count,60__1__448__MNM__2032__2032
